MX1:1
MX2:1
MX3:1
MX4:1
MX5:1
MX6:1
MX7:1
MX9:1
MX10:1
MX11:1
MX12:1
MX13:1
MX14:1
MX16:1
MX17:1
MX18:1
MX19:1
MX20:1
MX21:1
MX22:1
MX23:1
MX24:1
MX25:1
MX26:1
MX27:1
MX28:1
MX29:1
MX30:1
MX31:1
MX32:1
MX33:1
MX34:1
MX35:1
MX36:1
MX37:1
MX38:1
MX39:1
MX40:1
MX41:1
MX42:1
MX43:1
MX44:1
MX45:1
MX46:1
MX47:1
MX48:1
MX49:1
MX50:1
MX51:1
MX52:1
MX53:1
MX54:1
MX55:1
MX56:1
MX57:1
MX63:1
MX65:1
MX67:1
MX64:1
MX8:1
MX15:1
MX59:1
MX60:1
MX61:1
MX62:1
MX66:1
J2:1
MX68:1
MX69:1
MX70:1
MX71:1
MX72:1
1:1
20:1
21:1
40:1
41:1
60:1
61:1
2:1
19:1
22:1
39:1
42:1
59:1
62:1
3:1
18:1
23:1
38:1
43:1
58:1
63:1
D89:1
17:1
D91:1
37:1
44:1
57:1
64:1
5:1
25:1
36:1
45:1
56:1
65:1
6:1
15:1
26:1
35:1
46:1
55:1
66:1
7:1
14:1
27:1
34:1
47:1
54:1
67:1
8:1
13:1
28:1
33:1
48:1
53:1
9:1
12:1
29:1
32:1
49:1
52:1
10:1
11:1
30:1
31:1
50:1
51:1
16:1
REF**:11
:3
J1:1
R2:1
R3:1
SW1:1
C5:1
C3:1
Y1:1
C1:1
R1:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
D10:1
D11:1
D12:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D30:1
D31:1
D32:1
D33:1
D34:1
D36:1
D37:1
D38:1
D39:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D49:1
D50:1
D51:1
D52:1
D53:1
D54:1
D55:1
D56:1
D57:1
D58:1
D59:1
D60:1
D61:1
D62:1
D64:1
D67:1
D13:1
C7:1
C6:1
D35:1
D63:1
C2:1
U1:1
U2:1
F1:1
R4:1
C4:1
D66:1
D:1
C8:1
C9:1
C10:1
C11:1
C13:2
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C48:1
C49:1
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C57:1
C58:1
LED3:1
LED10:1
LED11:1
LED4:1
LED9:1
LED12:1
LED2:1
LED5:1
LED8:1
LED13:1
LED1:1
LED6:1
LED7:1
LED14:1
LED15:1
